address_id;address;address2;district;city_id;postal_code;phone;location;last_update
6;1121 Loja Avenue;;California;449;17886;838635286649;[B@408d971b;25-09-2014
10;1795 Santiago de Compostela Way;;Texas;295;18743;860452626434;[B@36ebc363;25-09-2014
15;1542 Tarlac Parkway;;Kanagawa;440;1027;635297277345;[B@45752059;25-09-2014
16;808 Bhopal Manor;;Haryana;582;10672;465887807014;[B@34e9fd99;25-09-2014
18;770 Bydgoszcz Avenue;;California;120;16266;517338314235;[B@3c41ed1d;25-09-2014
45;42 Brindisi Place;;Yerevan;586;16744;42384721397;[B@54d9d12d;25-09-2014
83;586 Tete Way;;Kanagawa;256;1079;18581624103;[B@38425407;25-09-2014
96;984 Effon-Alaiye Avenue;;Gois;183;17119;132986892228;[B@43bc63a3;25-09-2014
117;1079 Tel Aviv-Jaffa Boulevard;;Sucre;132;10885;358178933857;[B@702657cc;25-09-2014
133;1854 Tieli Street;;Shandong;302;15819;509492324775;[B@6a6cb05c;25-09-2014
135;1752 So Leopoldo Parkway;;Taka-Karpatia;345;14014;252265130067;[B@40a4337a;25-09-2014
141;1749 Daxian Place;;Gelderland;29;11044;963369996279;[B@6025e1b6;25-09-2014
144;1666 Beni-Mellal Place;;Tennessee;123;13377;9099941466;[B@22ff4249;25-09-2014
197;447 Surakarta Loop;;Nyanza;271;10428;940830176580;[B@2d1ef81a;25-09-2014
199;1792 Valle de la Pascua Place;;Nordrhein-Westfalen;477;15540;419419591240;[B@4c402120;25-09-2014
202;955 Bamenda Way;;Ondo & Ekiti;218;1545;768481779568;[B@327514f;25-09-2014
210;1304 s-Hertogenbosch Way;;Santa Catarina;83;10925;90336226227;[B@5b12b668;25-09-2014
211;850 Salala Loop;;Kitaa;371;10800;403404780639;[B@1165b38;25-09-2014
240;1479 Rustenburg Boulevard;;Southern Tagalog;527;18727;727785483194;[B@4c12331b;25-09-2014
242;1964 Gijn Manor;;Karnataka;473;14408;918119601885;[B@7586beff;25-09-2014
244;1148 Saarbrcken Parkway;;Fukushima;226;1921;137773001988;[B@3b69e7d1;25-09-2014
269;446 Kirovo-Tepetsk Lane;;Osaka;203;19428;303967439816;[B@815b41f;25-09-2014
276;1675 Xiangfan Manor;;Tamil Nadu;283;11763;271149517630;[B@5542c4ed;25-09-2014
297;1192 Tongliao Street;;Sharja;470;19065;350970907017;[B@1573f9fc;25-09-2014
317;780 Kimberley Way;;Tabuk;515;17032;824396883951;[B@6150c3ec;25-09-2014
337;1838 Tabriz Lane;;Dhaka;143;1195;38988715447;[B@44c03695;25-09-2014
341;1920 Weifang Avenue;;Uttar Pradesh;427;15643;869507847714;[B@7e6f74c;25-09-2014
344;1909 Benguela Lane;;Henan;581;19913;624138001031;[B@dd05255;25-09-2014
354;953 Hodeida Street;;Southern Tagalog;221;18841;53912826864;[B@6a78afa0;25-09-2014
373;1922 Miraj Way;;Esfahan;356;13203;320471479776;[B@2f4948e4;25-09-2014
388;368 Hunuco Boulevard;;Namibe;360;17165;106439158941;[B@1f2586d6;25-09-2014
390;102 Chapra Drive;;Ibaragi;521;14073;776031833752;[B@10683d9d;25-09-2014
403;1190 0 Place;;Rio Grande do Sul;44;10417;841876514789;[B@3fc2959f;25-09-2014
405;530 Lausanne Lane;;Texas;135;11067;775235029633;[B@5aa9e4eb;25-09-2014
406;454 Patiala Lane;;Fukushima;276;13496;794553031307;[B@6989da5e;25-09-2014
426;1661 Abha Drive;;Tamil Nadu;416;14400;270456873752;[B@385c9627;25-09-2014
458;138 Caracas Boulevard;;Zulia;326;16790;974433019532;[B@139982de;25-09-2014
459;251 Florencia Drive;;Michoacn de Ocampo;556;16119;118011831565;[B@682b2fa;25-09-2014
466;118 Jaffna Loop;;Northern Mindanao;182;10447;325526730021;[B@217ed35e;25-09-2014
475;434 Ourense (Orense) Manor;;Hodeida;206;14122;562370137426;[B@7dcf94f8;25-09-2014
480;421 Yaound Street;;Sumy;385;11363;726875628268;[B@229f66ed;25-09-2014
489;1297 Alvorada Parkway;;Ningxia;587;11839;508348602835;[B@31190526;25-09-2014
495;656 Matamoros Drive;;Boyac;487;19489;17305839123;[B@662ac478;25-09-2014
506;414 Mandaluyong Street;;Lubelskie;314;16370;52709222667;[B@6743e411;25-09-2014
510;48 Maracabo Place;;Central Luzon;519;1570;82671830126;[B@3eb25e1a;25-09-2014
515;886 Tonghae Place;;Volgograd;259;19450;711928348157;[B@477b4cdf;25-09-2014
529;600 Purnea (Purnia) Avenue;;Nghe An;571;18043;638409958875;[B@77c2494c;25-09-2014
546;191 Jos Azueta Parkway;;Ruse;436;13629;932156667696;[B@f5958c9;25-09-2014
551;182 Nukualofa Drive;;Sumy;275;15414;426346224043;[B@233795b6;25-09-2014
553;1421 Quilmes Lane;;Ishikawa;260;19151;135407755975;[B@3eb738bb;25-09-2014
559;1917 Kumbakonam Parkway;;Vojvodina;368;11892;698182547686;[B@5bda8e08;25-09-2014
560;1447 Imus Place;;Gujarat;426;12905;62127829280;[B@1e800aaa;25-09-2014
569;1342 Abha Boulevard;;Bukarest;95;10714;997453607116;[B@185a6e9;25-09-2014
574;502 Mandi Bahauddin Parkway;;Anzotegui;55;15992;618156722572;[B@6f03482;25-09-2014
591;773 Dallas Manor;;Buenos Aires;424;12664;914466027044;[B@9d5509a;25-09-2014
594;1464 Kursk Parkway;;Shandong;574;17381;338758048786;[B@179ece50;25-09-2014
597;32 Liaocheng Way;;Minas Gerais;248;1944;410877354933;[B@3b0090a4;25-09-2014
598;42 Fontana Avenue;;Fejr;512;14684;437829801725;[B@3cd3e762;25-09-2014
